LCR	DESC	DATETIME	NO	LOCATION
71A	Traffic/DWI (Driving While Impaired)	10/18/2015 1:33	P15057832	"(35.76880699550215, -78.63507543680849)"
71A	Traffic/DWI (Driving While Impaired)	10/17/2015 22:30	P15057775	"(35.7970516900136, -78.57604990679576)"
71A	Traffic/DWI (Driving While Impaired)	10/17/2015 4:01	P15057630	
71A	Traffic/DWI (Driving While Impaired)	10/17/2015 2:36	P15057635	"(35.798339423803604, -78.63663626659132)"
71A	Traffic/DWI (Driving While Impaired)	10/17/2015 2:31	P15057627	"(35.834504310738694, -78.61600465156366)"
71A	Traffic/DWI (Driving While Impaired)	10/17/2015 1:47	P15057619	"(35.81937763867958, -78.62415769273056)"
71A	Traffic/DWI (Driving While Impaired)	10/16/2015 23:19	P15057601	
71A	Traffic/DWI (Driving While Impaired)	10/16/2015 22:45	P15057595	"(35.79204791368499, -78.58544648159594)"
71A	Traffic/DWI (Driving While Impaired)	10/16/2015 22:05	P15057596	"(35.79475260754116, -78.70589619264743)"
71A	Traffic/DWI (Driving While Impaired)	10/16/2015 5:56	P15057424	"(35.86389812055038, -78.60005550589426)"
71A	Traffic/DWI (Driving While Impaired)	10/16/2015 1:36	P15057417	"(35.803301069760366, -78.6203464518872)"
71A	Traffic/DWI (Driving While Impaired)	10/16/2015 0:17	P15057410	"(35.87109522171149, -78.7230356888992)"
71A	Traffic/DWI (Driving While Impaired)	10/15/2015 2:25	P15057167	"(35.812796384004514, -78.65155407490118)"
71A	Traffic/DWI (Driving While Impaired)	10/15/2015 2:16	P15057172	"(35.81376274590931, -78.65279628584356)"
71A	Traffic/DWI (Driving While Impaired)	10/15/2015 0:10	P15057157	"(35.85613939707668, -78.57071916345697)"
71A	Traffic/DWI (Driving While Impaired)	10/14/2015 13:30	P15057026	"(35.76846350617762, -78.64665432280157)"
71A	Traffic/DWI (Driving While Impaired)	10/14/2015 13:30	P15057028	"(35.767617751015365, -78.64645953504953)"
71A	Traffic/DWI (Driving While Impaired)	10/14/2015 2:40	P15056952	"(35.77987594029389, -78.64413161918546)"
71A	Traffic/DWI (Driving While Impaired)	10/14/2015 1:36	P15056947	"(35.77986202761314, -78.65058110557632)"
71A	Traffic/DWI (Driving While Impaired)	10/14/2015 0:59	P15056940	"(35.82213034293138, -78.5846096794717)"
71A	Traffic/DWI (Driving While Impaired)	10/13/2015 1:57	P15056745	"(35.78180026979221, -78.72188635180683)"
71A	Traffic/DWI (Driving While Impaired)	10/13/2015 1:26	P15056746	"(35.78295331630821, -78.67885006404349)"
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 6:16	P15056376	"(35.81166704930643, -78.61265268934935)"
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 4:25	P15056369	
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 4:05	P15056367	"(35.90970383356578, -78.77769021312271)"
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 3:31	P15056360	"(35.77899985141511, -78.64287690691292)"
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 3:20	P15056362	"(35.90155239675153, -78.76612544310507)"
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 3:04	P15056365	"(35.87637835101107, -78.7311707869661)"
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 2:25	P15056357	"(35.78044478335573, -78.64704684285594)"
71A	Traffic/DWI (Driving While Impaired)	10/11/2015 0:41	P15056348	"(35.755589345099544, -78.6128880451647)"
